,movie_id,studio_producer,directors,authors,production_company
0,,Famous Players-Lasky,William Wellman,"Hope Loring, Louis D. Lighton",Unknown
1,,Metro-Goldwyn-Mayer,Harry Beaumont,"James Gleason, Norman Houston, Sarah Y. Mason",MGM Home Entertainment
2,,Fox,"Irving Cummings, Raoul Walsh",Tom Barry,20th Century Fox Film Corporation
3,,Cosmopolitan,George W. Hill,"Frances Marion, Martin Flavin, Joseph Farnham, Lennox Robinson",Warner Bros.
4,,RKO Radio,Wesley Ruggles,"Howard Estabrook, Edna Ferber",MGM Home Entertainment
5,,Metro-Goldwyn-Mayer,Edmund Goulding,William A. Drake,MGM Home Entertainment
6,,Metro-Goldwyn-Mayer,King Vidor,"Frances Marion, Leonard Praskins, Wanda Tuchock",MGM
7,,Fox,Frank Lloyd,Reginald Berkeley,20th Century Fox Film Corporation
8,,Warner Bros.,Lloyd Bacon,"Rian James, James Seymour, Whitney Bolton",MGM Home Entertainment
9,,Paramount,Frank Borzage,"Frank Borzage, Ernest Hemingway, Benjamin Glazer, Oliver H.P. Garrett",Gravitas
10,,RKO Radio,George Cukor,"Sarah Y. Mason, Victor Heerman",WARNER BROTHERS PICTURES
11,,London Films,Alexander Korda,"Lajos Biró, Arthur Wimperis",Criterion Collection
12,,Paramount,Lowell Sherman,"Mae West, Harvey Thew, John Bright",MCA Universal Home Video
13,,Columbia,Frank Capra,Robert Riskin,Sony Pictures Home Entertainment
14,,Metro-Goldwyn-Mayer,Sidney Franklin,"Ernest Vajda, Claudine West, Donald Ogden Stewart",MGM
15,,RKO Radio,Mark Sandrich,"George Marion Jr., Edward Kaufman, Dwight Taylor, Dorothy Yost",RKO Radio Pictures
16,,Universal,John M. Stahl,William Hurlbut,Universal Studios
17,23544,Metro-Goldwyn-Mayer,W.S. Van Dyke,"Dashiell Hammett, Frances Goodrich, Albert Hackett",MGM
18,,Metro-Goldwyn-Mayer,Frank Lloyd,"Jules Furthman, Talbot Jennings, Carey Wilson",MGM
19,,RKO Radio,George Stevens,"Mortimer Offner, Dorothy Yost",Turner Home Entertainment
20,,Cosmopolitan,Michael Curtiz,Casey Robinson,Twentieth Century Fox Home Entertainment
21,,RKO Radio,John Ford,Dudley Nichols,Media Home Entertainment
22,,Warner Bros.,"William Dieterle, Max Reinhardt","Mary C. McCall Jr., Charles Kenyon",Warner Bros.
23,,RKO Radio,Mark Sandrich,"Dwight Taylor, Allan Scott",Turner Home Entertainment
24,,Metro-Goldwyn-Mayer,Robert Z. Leonard,William Anthony McGuire,MGM Home Entertainment
25,,Samuel Goldwyn Productions,William Wyler,Sidney Howard,Samuel Goldwyn Films
26,,Metro-Goldwyn-Mayer,Jack Conway,"George Oppenheimer, Maurine Dallas Watkins, Wallace Sullivan, Howard Emmet Rogers, Maurine Watkins",Warner Home Video
27,,Columbia,Frank Capra,Robert Riskin,Columbia Pictures
28,,Metro-Goldwyn-Mayer,George Cukor,Talbot Jennings,MGM
29,,Metro-Goldwyn-Mayer,"D.W. Griffith, W.S. Van Dyke","Anita Loos, Erich von Stroheim, Robert E. Hopkins",MGM
30,,Metro-Goldwyn-Mayer,Jack Conway,"S.N. Behrmann, W.P. Lipscomb",Warner Home Video
31,,Universal,Henry Koster,"Adele Comandini, Austin Parker",Universal Pictures
32,,Warner Bros.,"Irving Rapper, William Dieterle","Norman Reilly Raine, Heinz Herald, Geza Herczeg",MGM Home Entertainment
33,,Columbia,Leo McCarey,Viña Delmar,Columbia
34,,Metro-Goldwyn-Mayer,Victor Fleming,"John Lee Mahin, Marc Connelly, Dale Van Every, Marc Connolly",MGM Home Entertainment
35,1490,Samuel Goldwyn Productions,William Wyler,Lillian Hellman,MGM
36,6593,Samuel Goldwyn Productions,William Wyler,Lillian Hellman,MGM
37,12136,Samuel Goldwyn Productions,William Wyler,Lillian Hellman,MGM
38,13270,Samuel Goldwyn Productions,William Wyler,Lillian Hellman,MGM
39,13817,Samuel Goldwyn Productions,William Wyler,Lillian Hellman,MGM
40,16720,Samuel Goldwyn Productions,William Wyler,Lillian Hellman,MGM
41,17967,Samuel Goldwyn Productions,William Wyler,Lillian Hellman,MGM
42,21433,Samuel Goldwyn Productions,William Wyler,Lillian Hellman,MGM
43,23409,Samuel Goldwyn Productions,William Wyler,Lillian Hellman,MGM
44,26775,Samuel Goldwyn Productions,William Wyler,Lillian Hellman,MGM
45,26927,Samuel Goldwyn Productions,William Wyler,Lillian Hellman,MGM
46,28416,Samuel Goldwyn Productions,William Wyler,Lillian Hellman,MGM
47,,Metro-Goldwyn-Mayer,"Sidney Franklin, Victor Fleming","Claudine West, Talbot Jennings, Tess Slesinger, Donald Davis",WARNER BROTHERS PICTURES
48,,Columbia,Frank Capra,Robert Riskin,Sony Pictures Home Entertainment
49,,RKO Radio,Gregory La Cava,"Gregory La Cava, Morrie Ryskind, Anthony Veiller",Warner Home Video
50,,Selznick International Pictures,"William Wellman, Jack Conway","Dorothy Parker, Alan Campbell, Bob Carson, Ring Lardner Jr., Budd Schulberg, David O. Selznick, William Wellman, John Lee Mahin, Ben Hecht, Adela Rogers St. John, W. Howard Greene",Image Entertainment Inc.
51,,Warner Bros.-First National,"Michael Curtiz, William Keighley","Norman Reilly Raine, Seton I. Miller, Michael Curtiz, William Keighley",Warner Bros.
52,,20th Century-Fox,Henry King,"Lamar Trotti, Kathryn Scola, Irving Berlin, Richard Sherman",20th Century Fox Film Corporation
53,,Metro-Goldwyn-Mayer,Norman Taurog,"Dore Schary, Eleanore Griffin, John Meehan",MGM Home Entertainment
54,,Metro-Goldwyn-Mayer,King Vidor,"Ian Dalrymple, Frank Wead, Elizabeth Hill, Emlyn Williams",MGM Home Entertainment
55,,Warner Bros.-First National,Edmund Goulding,"Casey Robinson, Bertram Bloch",Twentieth Century Fox Home Entertainment
56,,Metro-Goldwyn-Mayer,Sam Wood,"R.C. Sherriff, Eric Maschwitz, Claudine West, James Hilton, Sidney Franklin",MGM Home Entertainment
57,,RKO Radio,Leo McCarey,"Delmer Daves, Donald Ogden Stewart, Leo McCarey",Madacy Entertainment
58,,Columbia,Frank Capra,Sidney Buchman,Sony Pictures Home Entertainment
59,,Metro-Goldwyn-Mayer,Ernst Lubitsch,"Charles Brackett, Billy Wilder, Walter Reisch, Ernst Lubitsch, Melchior Lengyel",Warner Bros. Pictures
60,,Hal Roach (production company),Lewis Milestone,Eugene Solow,United Artists
61,,Walter Wanger (production company),John Ford,"Ben Hecht, Dudley Nichols",Warner Home Video
62,,Metro-Goldwyn-Mayer,"King Vidor, Victor Fleming","Florence Ryerson, Noel Langley, Edgar Allan Woolf",Warner Bros. Pictures
63,,Samuel Goldwyn Productions,William Wyler,"Ben Hecht, Charles MacArthur",United Artists
64,,Warner Bros.,Anatole Litvak,Casey Robinson,Warner Bros. Pictures
65,,Walter Wanger (production company),Alfred Hitchcock,"Charles Bennett, James Hilton, Joan Harrison, Richard Maibaum, Robert Benchley",Warner Home Video
66,,20th Century-Fox,John Ford,Nunnally Johnson,20th Century Fox Film Corporation
67,,Charles Chaplin Productions,Charles Chaplin,Charles Chaplin,Criterion Collection
68,,RKO Radio,Sam Wood,"Dalton Trumbo, Donald Ogden Stewart",Media Home Entertainment
69,29235,Warner Bros.,William Wyler,Howard Koch,MGM Home Entertainment
70,,Sol Lesser (production company),Sam Wood,"Frank Craven, Thornton Wilder, Harry Chandlee",United Artists
71,,Metro-Goldwyn-Mayer,George Cukor,"Donald Ogden Stewart, Waldo Salt",MGM
72,,20th Century-Fox,John Ford,"Richard Llewellyn, Philip Dunne",Twentieth Century Fox Home Entertainment
73,,Metro-Goldwyn-Mayer,Mervyn LeRoy,"Anita Loos, Ralph Wheelwright",WARNER BROTHERS PICTURES
74,,Mercury,Orson Welles,"Herman J. Mankiewicz, Orson Welles",RKO Radio Pictures
75,,Columbia,Alexander Hall,"Sidney Buchman, Harry Segall, Seton I. Miller",Sony Pictures Entertainment
76,,Samuel Goldwyn Productions,William Wyler,"Lillian Hellman, Dorothy Parker, Arthur Kober, Alan Campbell",RKO
77,,Warner Bros.,John Huston,John Huston,Warner Bros.
78,,Warner Bros.,Howard Hawks,"Abem Finkel, Harry Chandlee, Howard Koch, John Huston",Warner Bros. Pictures
79,,RKO Radio,Alfred Hitchcock,"Joan Harrison, Alma Reville, Alfred Hitchcock, Samson Raphaelson",WARNER BROTHERS PICTURES
80,,Metro-Goldwyn-Mayer,William Wyler,"Arthur Wimperis, James Hilton, Claudine West, George Froeschel",MGM Home Entertainment
81,,Warner Bros.,Sam Wood,Casey Robinson,Warner Home Video
82,,Mercury,Orson Welles,Orson Welles,RKO Radio Pictures
83,,Samuel Goldwyn Productions,Sam Wood,"Jo Swerling, Herman J. Mankiewicz, Paul Gallico",MGM
84,,Metro-Goldwyn-Mayer,Mervyn LeRoy,"George Froeschel, Claudine West, Arthur Wimperis",MGM Home Entertainment
85,,Columbia,George Stevens,"Irwin Shaw, Sidney Buchman, Sidney Harmon, Dale Van Every",Sony Pictures Entertainment
86,,Warner Bros.,"Michael Curtiz, Hugh MacMullan","Robert Buckner, Edmund Joseph",MGM Home Entertainment
87,,Warner Bros.,Michael Curtiz,"Julius J. Epstein, Philip G. Epstein, Howard Koch, Michael Curtiz",Warner Bros. Pictures
88,,Paramount,Sam Wood,Dudley Nichols,MCA Universal Home Video
89,,20th Century-Fox,Ernst Lubitsch,Samson Raphaelson,20th Century Fox Film Corporation
