,movie_id,budget,revenue
0,1,0,9572765
1,2,0,56000000
2,22818,0,56000000
3,24007,0,56000000
4,3,17000000,45000000
5,29,17000000,45000000
6,105,17000000,45000000
7,111,17000000,45000000
8,170,17000000,45000000
9,1061,17000000,45000000
10,1283,17000000,45000000
11,3808,17000000,45000000
12,4,18800000,161000000
13,5,0,0
14,6,20000000,2892594
15,7,68000000,170800000
16,8,0,0
17,9,10000000,14257609
18,10,1500000,0
19,11,0,0
20,12,0,0
21,13,0,0
22,3674,0,0
23,18472,0,0
24,26053,0,0
25,14,0,0
26,15,0,0
27,16,0,0
28,8903,0,0
29,17,0,304106
30,18,0,0
31,3128,0,0
32,29492,0,0
33,19,250000,144008
34,20,0,0
35,21,0,0
36,22,20000000,131647155
37,23,0,5700000
38,5878,0,5700000
39,24,0,0
40,25,20000000,0
41,26,24000000,140000000
42,187,24000000,140000000
43,2247,24000000,140000000
44,27,0,0
45,28,20000000,0
46,3,0,0
47,29,0,0
48,105,0,0
49,111,0,0
50,170,0,0
51,1061,0,0
52,1283,0,0
53,3808,0,0
54,30,20000000,77912251
55,10911,20000000,77912251
56,31,0,0
57,32,0,0
58,33,0,0
59,34,0,0
60,35,0,0
61,36,6200000,3600000
62,37,39000000,201000000
63,38,40000000,38600612
64,39,0,0
65,40,0,119815153
66,41,79000000,473122525
67,42,0,40958
68,43,0,3000776
69,13434,0,3000776
70,44,0,0
71,18475,0,0
72,22647,0,0
73,29313,0,0
74,45,0,0
75,46,10000000,30833138
76,5025,10000000,30833138
77,47,0,0
78,261,0,0
79,48,0,0
80,49,18000000,76994245
81,50,10000000,45000000
82,51,10000000,59217789
83,52,0,26900000
84,53,0,0
85,54,0,0
86,55,13000000,319494638
87,56,17000000,63102666
88,57,10000000,30000000
89,624,10000000,30000000
90,8837,10000000,30000000
91,26186,10000000,30000000
92,58,0,0
93,59,0,0
94,60,0,0
95,61,0,0
96,62,0,0
97,63,10000000,253688035
98,100,10000000,253688035
99,121,10000000,253688035
100,64,61000000,297372261
101,65,0,0
102,66,18000000,90112510
103,67,0,0
104,68,0,532054
105,69,0,0
106,7614,0,0
107,11421,0,0
108,16967,0,0
109,18904,0,0
110,19317,0,0
111,70,0,0
112,71,0,0
113,72,25000000,50671850
114,73,0,0
115,74,3000000,0
116,75,0,0
117,76,40000000,320392818
118,77,200000000,531865000
119,78,22000000,365550119
120,369,22000000,365550119
121,79,0,0
122,80,0,0
123,81,4000000,25343661
124,82,3000000,0
125,83,4000000,0
126,84,0,0
127,85,0,0
128,86,100000000,230884728
129,87,0,18312201
130,88,0,3777969
131,135,0,3777969
132,89,0,0
133,4113,0,0
134,90,150000000,530243742
135,91,6500000,2200000
136,92,40000000,203044905
137,93,0,0
138,94,3000000,0
139,95,0,700000
140,96,0,0
141,97,0,0
142,1946,0,0
143,98,26000000,67918658
144,99,0,0
145,63,325000,70274000
146,100,325000,70274000
147,121,325000,70274000
148,101,9000000,44196684
149,150,9000000,44196684
150,5955,9000000,44196684
151,22668,9000000,44196684
152,102,2500000,60141683
153,103,13000000,137056262
154,104,35000000,701842551
155,30340,35000000,701842551
156,106,0,1169603
157,107,0,0
158,108,0,0
159,26127,0,0
160,109,0,0
161,110,0,0
162,112,69000000,116471580
163,113,10500000,30000000
164,114,12000000,24829644
165,115,0,0
166,116,11000000,441306145
167,117,0,26745
168,29548,0,26745
169,118,0,780000
170,4899,0,780000
171,119,0,0
172,120,13000000,35763605
173,63,15000000,80460948
174,100,15000000,80460948
175,121,15000000,80460948
176,122,0,1753826
177,123,0,0
178,3517,0,0
179,124,6600000,5115725
180,125,0,0
181,126,0,5802422
182,127,8500000,87547518
183,128,1200000,103911669
184,566,1200000,103911669
185,129,0,0
186,130,0,550000
187,131,10000000,118587880
188,132,9000000,122033739
189,133,0,0
190,134,0,0
191,88,12600000,28650575
192,135,12600000,28650575
193,136,0,0
194,137,13000000,20560255
195,138,14000000,0
196,208,14000000,0
197,139,14000000,42415898
198,1795,14000000,42415898
199,2370,14000000,42415898
200,2794,14000000,42415898
201,5145,14000000,42415898
202,19268,14000000,42415898
203,21082,14000000,42415898
204,27026,14000000,42415898
205,140,30000000,231252591
206,141,40000000,24640084
207,5925,40000000,24640084
208,142,0,0
209,3763,0,0
210,143,0,1474579
211,144,9500000,107363905
212,145,9000000,278454358
213,146,0,3295624
214,147,10000000,80239658
215,148,23000000,112880294
216,26105,23000000,112880294
217,149,5000000,3800000
218,101,10000000,44902237
219,150,10000000,44902237
220,5955,10000000,44902237
221,22668,10000000,44902237
222,151,43000000,22957625
223,152,3000000,89328627
224,153,15000000,306515884
225,154,0,0
226,155,0,0
227,2306,0,0
228,156,0,0
229,157,0,0
230,158,3400000,78638987
231,159,0,0
232,160,50000000,226349749
233,161,0,2118582
234,162,48000000,249348933
235,163,47000000,157887643
236,164,97000000,240891763
237,165,1500000,97009150
238,166,40000000,130290885
239,167,5000000,86362372
240,168,58000000,158162788
241,169,30000000,116643421
242,3,10000,0
243,29,10000,0
244,105,10000,0
245,111,10000,0
246,170,10000,0
247,1061,10000,0
248,1283,10000,0
249,3808,10000,0
250,171,215000,194183034
251,172,0,0
252,173,0,0
253,323,0,0
254,437,0,0
255,174,0,0
256,175,12000000,0
257,176,16000000,107363905
258,177,0,7230000
259,8659,0,7230000
260,9792,0,7230000
261,178,3500000,40423945
262,2925,3500000,40423945
263,6164,3500000,40423945
264,9491,3500000,40423945
265,15768,3500000,40423945
266,16221,3500000,40423945
267,179,0,0
268,180,1500000,32511655
269,181,0,0
270,182,4500000,255407969
271,183,8000000,22818256
272,184,6500000,257047661
273,185,5000000,17800000
274,186,5000000,161000000
275,26,14000000,173046663
276,187,14000000,173046663
277,2247,14000000,173046663
278,188,0,0
279,189,2011799,252207
280,190,70000000,160112671
281,191,25000000,118890272
282,192,20000000,40618920
283,193,0,0
284,194,15000000,14860766
285,195,0,0
286,5678,0,0
287,16378,0,0
288,24690,0,0
289,196,0,0
290,197,3000000,82515113
291,5302,3000000,82515113
292,8618,3000000,82515113
293,198,23600000,102391540
294,199,35000000,93320380
295,200,0,0
296,201,0,0
297,202,26000000,90941129
298,203,10000,0
299,204,3500000,95330493
300,1799,3500000,95330493
301,1933,3500000,95330493
302,8217,3500000,95330493
303,26812,3500000,95330493
304,205,17000000,340677200
305,206,19000000,44781695
306,207,35000000,81093313
307,138,1000000,14575193
308,208,1000000,14575193
309,209,40000000,68766121
310,1785,40000000,68766121
311,210,0,5972942
312,211,17000000,39657073
313,212,15000000,69623713
314,1351,15000000,69623713
315,213,25000000,77389310
316,664,25000000,77389310
317,214,0,0
318,748,0,0
319,215,11000000,34900000
320,216,19000000,91509154
321,237,19000000,91509154
322,217,9000000,111928365
323,218,0,0
324,1432,0,0
325,2567,0,0
326,2902,0,0
327,7664,0,0
328,7872,0,0
329,13341,0,0
330,23998,0,0
331,26758,0,0
332,27421,0,0
333,28761,0,0
334,29060,0,0
335,30415,0,0
336,219,0,0
337,502,0,0
338,220,11000000,104931801
339,221,0,0
340,4553,0,0
341,23416,0,0
342,222,100000,0
343,512,100000,0
344,223,15000000,44888959
345,224,16000000,31556061
346,225,1200000,0
347,226,4000000,147748505
348,227,130178,5303
349,228,0,0
350,229,3000000,0
351,28451,3000000,0
352,28603,3000000,0
353,230,10000000,39421467
354,299,10000000,39421467
355,231,0,0
356,232,30000000,90810892
357,233,0,0
358,234,0,0
359,235,20000000,22217407
360,20161,20000000,22217407
361,236,10000000,164874275
362,216,550000,59754601
363,237,550000,59754601
364,238,9000000,47980982
365,239,42000000,122801777
366,240,3000000,11642254
367,241,45000000,131183530
368,242,2000000,572809
369,608,2000000,572809
370,243,85000,30900000
371,244,0,0
372,24042,0,0
373,245,30000000,71041255
374,246,0,0
375,4945,0,0
376,247,0,0
377,248,0,130023
378,249,15000000,19629760
379,588,15000000,19629760
380,250,0,0
381,251,10000000,167184112
382,252,0,0
383,17581,0,0
384,253,0,1025190
385,254,10000000,0
386,255,5000000,207039844
387,256,0,0
388,257,0,0
389,258,10000000,139352633
390,259,0,0
391,15119,0,0
392,260,0,0
393,47,0,2193474
394,261,0,2193474
395,262,0,0
396,263,0,0
397,264,40000000,43070915
398,265,67000000,49169594
399,266,15000000,37697773
400,267,15000000,65048678
401,268,9900000,159047649
402,269,40000000,186167139
403,270,2500000,6341684
404,6184,2500000,6341684
405,15854,2500000,6341684
406,25138,2500000,6341684
407,271,0,0
408,272,17739525,0
409,273,19000000,145166804
410,274,0,0
411,275,5000000,431020
412,276,6500000,250811
413,277,5000000,15116634
414,278,0,0
415,279,42000000,68467960
416,280,0,0
417,281,3000000,4915757
418,282,5000000,0
419,283,0,0
420,284,7000000,470653000
421,16835,7000000,470653000
422,285,0,0
423,286,24000000,172363301
424,287,70000000,177427090
425,288,6300000,13416285
426,289,4800000,81979826
427,290,0,0
428,291,100000000,206071502
429,292,24000000,83188165
430,293,160000000,300257475
431,294,365000,1400000
432,295,1350000,4160000
433,296,2000000,14674076
434,297,0,0
435,298,0,0
436,230,2500000,25533818
437,299,2500000,25533818
438,300,17000000,97542952
439,301,0,0
440,302,10200000,35728183
441,303,0,678604
442,304,13500000,89203432
443,305,5000000,85720385
444,306,35000000,68349884
445,7473,35000000,68349884
446,12938,35000000,68349884
447,307,0,0
448,17249,0,0
449,308,2600000,32980880
450,309,10000000,104303851
451,310,0,0
452,311,0,10000000
453,312,13000000,37664855
454,313,0,0
455,870,0,0
456,2468,0,0
457,314,50000000,161451538
458,315,0,0
459,316,0,2412576
460,317,21700000,0
461,318,0,0
462,319,0,0
463,5010,0,0
464,17874,0,0
465,19440,0,0
466,25364,0,0
467,320,20000000,136151680
468,321,0,0
469,322,6100000,30097092
470,173,1800000,33800000
471,323,1800000,33800000
472,437,1800000,33800000
473,324,1000000,1786396
474,12000,1000000,1786396
475,325,4000000,427399
476,326,0,0
477,327,0,0
478,328,60000,248639099
479,329,0,2667033
480,17570,0,2667033
481,330,0,22017
482,331,350000,29400000
483,332,1250000,21722776
484,333,0,0
485,334,0,0
486,335,35000000,115664037
487,344,35000000,115664037
488,336,0,0
489,337,0,0
490,338,40000000,215862692
491,339,5000000,103590271
492,2802,5000000,103590271
493,24422,5000000,103590271
494,340,0,0
495,341,10000000,183474602
496,891,10000000,183474602
497,342,6400000,11019975
498,343,10800000,113864059
499,335,1800000,25685134
500,344,1800000,25685134
501,345,9000000,24922237
502,820,9000000,24922237
503,25940,9000000,24922237
504,346,5000000,40100000
505,347,0,0
506,348,4200000,5835247
507,673,4200000,5835247
508,10894,4200000,5835247
509,349,25000000,95438172
510,350,2000000,239828
511,351,2400000,0
512,3593,2400000,0
513,352,11500000,57469467
514,500,11500000,57469467
515,353,0,0
516,354,0,0
517,355,0,0
518,356,60000000,223664608
519,357,11000000,68234154
520,358,0,225374
521,359,40000000,97231420
522,360,0,0
523,361,0,0
524,2138,0,0
525,11360,0,0
526,362,35000000,19294901
527,8851,35000000,19294901
528,19037,35000000,19294901
529,23310,35000000,19294901
530,30038,35000000,19294901
531,363,0,0
532,364,806947,50000000
533,868,806947,50000000
534,365,26000000,102278712
535,676,26000000,102278712
536,366,10000000,31973249
537,367,0,14332467
538,368,20000000,255105930
539,78,0,0
540,369,0,0
541,370,100000,0
542,371,6000000,32893421
543,372,0,4296804
544,11783,0,4296804
545,373,11000000,21502976
546,374,6500000,1100000
547,1260,6500000,1100000
548,375,17000000,75000000
549,376,3500000,7766240
550,377,0,0
551,378,0,0
552,379,0,0
553,380,0,34265
554,381,0,354023
555,382,0,0
556,383,3500000,57130027
557,384,0,0
558,385,0,2325035
559,386,45000000,136885767
560,387,0,0
561,3469,0,0
562,12513,0,0
563,23808,0,0
564,31092,0,0
565,388,900000,8556940
566,389,10700000,122200000
567,460,10700000,122200000
568,390,0,0
569,391,11000000,48572000
570,392,19000000,108047131
571,721,19000000,108047131
572,393,15000000,146497771
573,394,0,0
574,1352,0,0
575,395,65000000,128905366
576,396,2000000,2260622
577,397,0,0
578,398,15000000,7060384
579,399,12000000,14301505
580,400,0,0
581,23676,0,0
582,401,54000000,155010032
583,402,10000000,102952888
584,8020,10000000,102952888
585,403,0,0
586,7319,0,0
587,404,250,0
588,405,10000000,64188367
589,2605,10000000,64188367
590,406,6000000,57615777
591,10273,6000000,57615777
592,407,0,0
593,408,60000000,26673242
594,409,4000000,14237880
595,410,0,0
596,411,1700000,95384
597,412,12500000,31039126
598,413,5000000,0
599,414,1000000,23456897
600,415,250000,0
601,416,0,0
602,417,25000000,83080890
603,2711,25000000,83080890
604,12548,25000000,83080890
605,15921,25000000,83080890
606,418,1000000,0
607,16573,1000000,0
608,419,2500000,14400000
609,420,3000000,30000000
610,421,15000000,32721635
611,1034,15000000,32721635
612,422,35000000,113374103
613,423,6000200,7048886
614,424,0,0
615,425,3000000,12090735
616,426,3000000,15938065
617,427,9300000,39024251
618,428,0,178592
619,429,9000000,81705746
620,430,7000000,130234661
621,28297,7000000,130234661
622,431,125000000,409231607
623,2543,125000000,409231607
624,26815,125000000,409231607
625,432,0,0
626,433,3000000,19472057
627,434,40000000,161834276
628,435,16000000,76514050
629,5622,16000000,76514050
630,6114,16000000,76514050
631,12305,16000000,76514050
632,436,13000000,49400000
633,173,30000000,82394288
634,323,30000000,82394288
635,437,30000000,82394288
636,438,15000000,5600000
637,439,0,0
638,13838,0,0
639,440,3000000,6000000
640,4488,3000000,6000000
641,441,16000000,4176641
642,442,0,4381603
643,4785,0,4381603
644,8926,0,4381603
645,17162,0,4381603
646,21434,0,4381603
647,24184,0,4381603
648,443,0,0
649,444,5600000,18469680
650,445,150000000,0
651,446,8000000,9630444
652,447,0,0
653,448,9000000,155712077
654,641,9000000,155712077
655,1460,9000000,155712077
656,449,0,0
657,632,0,0
658,450,0,0
659,451,11000000,16951798
660,452,5000000,14000000
661,453,0,0
662,454,20000000,52302796
663,455,5000000,12666449
664,456,0,0
665,457,0,0
666,18254,0,0
667,24481,0,0
668,458,660000,16000000
669,1610,660000,16000000
670,459,0,10597734
671,389,35000000,95437994
672,460,35000000,95437994
673,461,50000000,40882928
674,462,50000000,100605135
675,463,4900000,148868835
676,3793,4900000,148868835
677,17832,4900000,148868835
678,464,0,0
679,465,0,0
680,466,4800000,125479266
681,467,3500000,0
682,468,4000000,36690067
683,469,0,0
684,470,0,4400000
685,471,15000000,24819936
686,472,2500000,0
687,473,57000000,152944660
688,474,0,2884265
689,639,0,2884265
690,475,800000,14568989
691,1668,800000,14568989
692,4376,800000,14568989
693,476,38000000,41657844
694,477,0,0
695,478,0,0
696,479,18000000,57470220
697,480,15000000,77947607
698,481,0,0
699,482,17000000,125586134
700,483,2000000,10312540
701,484,3896000,490000
702,485,0,41848
703,486,3500000,10900000
704,487,0,0
705,488,0,0
706,489,0,443458
707,490,0,0
708,7112,0,0
709,17109,0,0
710,27249,0,0
711,491,0,0
712,492,0,1158473
713,8959,0,1158473
714,13086,0,1158473
715,16546,0,1158473
716,23115,0,1158473
717,26054,0,1158473
718,493,2000000,5765562
719,494,4500000,8025872
720,495,0,0
721,496,5000000,15104310
722,497,0,21041950
723,498,35000000,116980662
724,499,14000000,30749142
725,352,21000000,112399944
726,500,21000000,112399944
727,501,60000000,78309131
728,503,0,0
729,504,6500000,48021766
730,9088,6500000,48021766
731,505,0,0
732,506,6000000,0
733,507,58000000,100541806
734,508,15050245,1062878
735,509,8000000,18707966
736,4369,8000000,18707966
737,510,0,0
738,511,3600000,0
739,222,0,0
740,512,0,0
741,513,13000000,329398046
742,514,0,0
743,515,4000000,0
744,516,40000000,141591324
745,517,0,0
746,518,600000,185898
747,519,2000000,13167232
748,520,10000000,53329150
749,521,0,70459
750,522,0,0
751,523,0,0
752,524,0,0
753,525,7700000,41036181
754,526,26000000,34592118
755,527,0,0
756,528,9000000,25327500
757,529,0,0
758,530,2000000,43625095
759,531,0,0
760,532,7000000,17949758
761,533,5000000,12534961
762,534,0,0
763,535,10000000,11817275
764,27094,10000000,11817275
765,536,5000000,21200000
766,537,8000000,57000000
767,538,2800000,19170001
768,539,8000000,21028755
769,540,2200000,21930418
